As of Date,Fund Name,Donor Name,Donor Country Code,Receipt Type,Receipt Quarter,Calendar Year,Receipt Currency,Receipt Amount,Contribution Type,Sub Account,Amount in USD,Sector/Theme
2013-12-31T00:00:00,Global Environment Facility,Ireland,IE,Cash,OCT-DEC,2011,EUR,1420000,Grant,GF05,1916858.01,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Austria,AT,Note,OCT-DEC,2011,EUR,10650000,Grant,GF05,14360460,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Japan,JP,Note,OCT-DEC,2011,JPY,12094270000,Grant,GF05,1556532.55,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,New Zealand,NZ,Note,OCT-DEC,2011,NZD,2480000,Grant,GF05,1890752,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Switzerland,CH,Note,JAN-MAR,2012,CHF,31232500,Grant,GF05,33224196.53,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Italy,IT,Cash,OCT-DEC,2011,EUR,12313010.96,Grant,GF05,16090642.72,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Italy,IT,Cash,OCT-DEC,2011,EUR,6606989.04,Grant,GF05,8634013.28,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Belgium,BE,Cash,OCT-DEC,2011,EUR,27000000,Grant,GF05,35283600,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,JAN-MAR,2012,EUR,20725000,Grant,GF05,27207780,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Slovenia,SI,Note,OCT-DEC,2011,EUR,1200000,Grant,GF05,1606920,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Germany,DE,Note,OCT-DEC,2011,EUR,86750000,Grant,GF05,117567937.5,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Mexico,MX,Cash,OCT-DEC,2011,MXN,28547500,Grant,GF05,2000894.28,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,India,IN,Cash,JAN-MAR,2012,INR,117450000,Grant,GF05,2362703.68,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Australia,AU,Note,OCT-DEC,2011,AUD,26250000,Grant,GF05,26085937.5,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United States,US,Cash,JAN-MAR,2012,USD,53930000,Grant,GF05,53930000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,China,CN,Cash,OCT-DEC,2011,USD,3445000,Grant,GF05,3445000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Finland,FI,Cash,OCT-DEC,2011,EUR,15000000,Grant,GF05,19486500,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Belgium,BE,Cash,OCT-DEC,2011,EUR,17000000,Grant,GF05,22215600,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,OCT-DEC,2011,GBP,52500000,Grant,GF05,82383000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Luxembourg,LU,Note,JAN-MAR,2012,EUR,1110000,Grant,GF05,1479519,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United States,US,Cash,JAN-MAR,2012,USD,35890000,Grant,GF05,35890000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Austria,AT,Note,JUL-SEP,1991,EUR,9689687,Grant,GF00,9689687,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Austria,AT,Note,JUL-SEP,1992,EUR,9689687,Grant,GF00,9689687,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Austria,AT,Note,JUL-SEP,1993,EUR,9689759.66,Grant,GF00,9689759.66,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Australia,AU,Note,APR-JUN,1994,AUD,16400000,Grant,GF00,16400000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Belgium,BE,Cash,JUL-SEP,1992,EUR,3215502.05,Grant,GF00,3215502.05,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Belgium,BE,Cash,APR-JUN,1993,EUR,1705985.71,Grant,GF00,1705985.71,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Brazil,BR,Note,APR-JUN,1999,XDR,4000000,Grant,GF00,5400200,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Canada,CA,Note,JAN-MAR,1992,CAD,3333334,Grant,GF00,3333334,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Canada,CA,Note,JUL-SEP,1992,CAD,3333333,Grant,GF00,3333333,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Canada,CA,Note,JUL-SEP,1993,CAD,3333333,Grant,GF00,3333333,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Switzerland,CH,Note,JUL-SEP,1991,XDR,10020000,Grant,GF00,10020000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Switzerland,CH,Note,JUL-SEP,1992,XDR,10020000,Grant,GF00,10020000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Switzerland,CH,Note,JUL-SEP,1993,XDR,10020000,Grant,GF00,10020000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Cote d'Ivoire,CI,Note,APR-JUN,1999,XDR,2000000,Grant,GF00,2700100,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,China,CN,Note,APR-JUN,1991,XDR,4000000,Grant,GF00,4000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Germany,DE,Note,JUL-SEP,1991,EUR,40949735.75,Grant,GF00,40949735.75,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Germany,DE,Note,JAN-MAR,1992,EUR,40949735.75,Grant,GF00,40949735.75,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Germany,DE,Note,JAN-MAR,1993,EUR,40949735.7,Grant,GF00,40949735.7,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,OCT-DEC,1991,XDR,5420000,Grant,GF00,5420000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,JUL-SEP,1992,XDR,5420000,Grant,GF00,5420000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Denmark,DK,Note,JUL-SEP,1993,XDR,5410000,Grant,GF00,5410000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,"Egypt, Arab Republic of",EG,Note,JUL-SEP,1992,XDR,4000000,Grant,GF00,4000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Spain,ES,Note,APR-JUN,1994,XDR,10000000,Grant,GF00,10000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Finland,FI,Note,JUL-SEP,1991,EUR,5886577.42,Grant,GF00,5886577.42,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Finland,FI,Note,JUL-SEP,1992,EUR,5886577.43,Grant,GF00,5886577.43,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Finland,FI,Note,JUL-SEP,1993,EUR,5886577.42,Grant,GF00,5886577.42,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,JUL-SEP,1991,EUR,42536324.79,Grant,GF00,42536324.79,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,JUL-SEP,1992,EUR,42536324.79,Grant,GF00,42536324.79,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,France,FR,Note,JUL-SEP,1993,EUR,37926626.72,Grant,GF00,37926626.72,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,JUL-SEP,1992,GBP,13433333,Grant,GF00,13433333,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,JUL-SEP,1993,GBP,13433333,Grant,GF00,13433333,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,United Kingdom,GB,Note,JUL-SEP,1991,GBP,13433334,Grant,GF00,13433334,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Indonesia,ID,Note,APR-JUN,1999,XDR,4000000,Grant,GF00,5400200,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,India,IN,Note,JUL-SEP,1991,XDR,4000000,Grant,GF00,4000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Italy,IT,Cash,JUL-SEP,1992,EUR,54227974.4,Grant,GF00,54227974.4,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Japan,JP,Cash,OCT-DEC,1992,JPY,3000000000,Grant,GF00,30000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Japan,JP,Cash,JAN-MAR,1994,JPY,1000000000,Grant,GF00,10000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Japan,JP,Cash,JUL-SEP,1991,USD,10000000,Grant,GF00,10000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Mexico,MX,Note,APR-JUN,1991,USD,5480000,Grant,GF00,5480000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Nigeria,NG,Note,APR-JUN,1999,XDR,4000000,Grant,GF00,5400200,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Netherlands,NL,Note,JUL-SEP,1991,XDR,37740000,Grant,GF00,37740000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,JUL-SEP,1991,NOK,55000000,Grant,GF00,55000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,JUL-SEP,1992,NOK,55000000,Grant,GF00,55000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Norway,NO,Note,JUL-SEP,1993,NOK,55000000,Grant,GF00,55000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Pakistan,PK,Note,APR-JUN,1999,XDR,4000000,Grant,GF00,5400200,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Portugal,PT,Note,OCT-DEC,1992,XDR,1500000,Grant,GF00,1500000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Portugal,PT,Note,OCT-DEC,1992,XDR,1500000,Grant,GF00,1500000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Portugal,PT,Note,JUL-SEP,1993,XDR,1500000,Grant,GF00,1500000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Sweden,SE,Note,JUL-SEP,1991,SEK,65355746,Grant,GF00,65355746,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Sweden,SE,Note,JUL-SEP,1992,SEK,65355746,Grant,GF00,65355746,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Sweden,SE,Note,JUL-SEP,1993,SEK,65355746,Grant,GF00,65355746,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Turkey,TR,Note,JUL-SEP,1991,XDR,4000000,Grant,GF00,4000000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Argentina,AR,Cash,JAN-MAR,1997,USD,500000,Grant,GF01,500000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Argentina,AR,Cash,JAN-MAR,1998,USD,500000,Grant,GF01,500000,Environment/Climate Change
2013-12-31T00:00:00,Global Environment Facility,Austria,AT,Note,APR-JUN,1999,EUR,5608162.61,Grant,GF01,5886888.29,Environment/Climate Change
